"hopt_price","hopt_dist","hopt_edu","hopt_safe","hopt_nroom","hopt_fq","hopt_loc","hopt_price_rnorm"
1955.13765392992,2,0,4,1,2,4,0.25181157936588
4214.85687128253,4,1,4,4,4,3,2.160014542298
1849.44816184092,3,0,2,4,4,2,-0.0623123314128189
1897.79914330676,1,0,3,1,4,4,-0.0551334804474198
4913.3132133379,5,0,4,4,5,2,3.23428988112601
1623.47421641718,4,1,3,2,1,2,-0.548704130898222
4730.10793553431,3,1,5,4,3,3,2.92213981663152
1742.79073610553,3,1,1,1,3,3,-0.256833516726603
1441.38877796255,2,0,2,2,4,2,-1.05649126040698
1976.35716282273,5,0,2,1,3,1,0.0385869603842325
1624.64717555427,2,0,1,2,4,3,-0.502873579966656
4340.62651837559,1,1,4,4,5,4,2.07058491410005
2116.36728578134,5,0,4,1,3,3,0.56000875334765
2144.4298645409,3,0,2,2,3,5,0.442661011722007
718.663585015974,1,0,3,1,3,1,-2.178925660009
1376.55321189342,1,1,1,3,4,2,-1.3414679598979
4388.50891752609,5,1,3,4,3,3,1.85361441641645
1991.18451619357,2,0,4,1,3,4,0.257424729218779
2016.28334966444,3,0,1,1,3,5,0.230221094533963
2037.71935208777,2,1,5,0,3,3,0.231537210060778
2163.45715319155,4,0,5,2,4,2,0.699833712879697
1887.36251336627,3,1,3,0,2,5,0.0202617354695936
257.458440161494,4,0,1,0,1,3,-1.85593957924262
1950.674970398,1,0,5,4,2,3,0.153505001543421
2251.42134995438,5,0,5,2,2,2,0.762039645387603
1970.24568959952,2,1,5,4,3,1,0.0245988502034087
1334.70779883522,2,0,2,3,3,1,-1.20247297912011
2104.69004373387,4,0,4,3,2,1,0.388821991225471
2103.73904744067,4,0,2,1,4,4,0.384856486299092
2368.83644967065,4,0,4,1,5,2,0.82511565064604
2232.29490711191,4,0,4,3,2,3,0.715882867694781
1815.12981472799,2,0,5,2,3,1,-0.256852506843489
3263.60120458719,4,1,5,2,4,2,1.20703826065882
2566.40399419499,2,1,4,1,5,3,1.02495767874955
1883.9940798403,1,0,3,2,2,4,0.0979402448834268
1525.95536188686,4,0,2,2,4,1,-0.781320140667471
1961.97205314639,3,0,3,3,2,3,0.21520501549112
2195.97217489435,4,0,1,3,2,5,0.646384091816933
1725.46157497748,3,0,3,2,3,1,-0.33468780220149
2241.54443801034,3,1,1,1,4,5,0.767243714600261
1510.36107494647,1,1,2,1,4,3,-0.900522934988899
1305.42265947668,4,0,1,0,3,3,-1.27636465450105
1743.01616363357,2,0,2,4,4,1,-0.379545050153967
1759.51715756316,4,0,1,4,3,2,-0.198066313528352
3402.33458707426,5,0,3,1,3,4,1.26449965103749
2316.61571195969,4,1,4,3,3,2,0.808739005100878
1293.94295462488,4,0,3,1,1,1,-1.33218526193299
3857.94566421563,5,1,4,1,3,3,1.62862863844998
422.138550277358,3,0,2,0,3,1,-1.96699958664527
2145.29944684936,3,1,5,3,3,1,0.446319314755846
2088.40401438017,2,0,3,4,4,2,0.281815171064747
2383.84378229476,4,1,2,1,4,3,0.893753081711944
2219.73659335594,4,1,2,0,1,5,0.70369336269915
2100.52847838318,2,0,2,3,4,4,0.374290332572482
1400.49603074535,1,0,3,0,4,2,-0.999444460778562
1302.16329412957,2,0,3,3,3,1,-1.36932122076506
2101.4118835472,4,0,2,0,4,4,0.480744861573221
2293.96510151562,4,0,2,2,4,4,0.821608325677878
3497.02927932425,5,1,5,1,3,2,1.71845961525481
1693.5458546341,2,0,3,3,3,2,-0.368485065166313
2037.85035378035,2,0,4,1,3,4,0.358867653601646
2230.26828820402,2,0,4,2,3,3,0.660691985843086
1425.03311268965,2,0,3,1,3,2,-1.02662580690565
2180.098597823,3,0,4,3,5,2,0.57800159467424
1822.73681269,3,0,5,1,2,2,-0.116742115883752
1878.51741117859,3,0,2,1,1,5,-0.0369017150993745
1515.62343292214,3,0,3,0,1,3,-0.837488054380914
1287.02447009663,2,0,1,0,3,4,-1.72308021819164
2089.87451198862,4,0,3,1,5,2,0.568702571774309
1491.67435877486,3,0,4,1,2,2,-0.876673017396212
3433.7311008608,4,1,4,3,4,2,1.20145883116531
3910.78686808814,5,0,4,2,5,2,1.57741623657889
2112.31017116267,1,1,1,1,5,5,0.431250921990695
2033.89051571335,2,0,5,2,2,4,0.307867895259309
2085.60235369915,3,0,3,1,2,5,0.470547319184172
2026.45218048441,2,0,4,3,3,3,0.28190027061591
1676.71249387403,4,1,4,1,3,1,-0.565501315399389
1793.44546638118,5,1,3,1,2,2,-0.245065210988453
2107.78475468382,3,0,4,1,2,5,0.325799479649093
2548.43977152604,4,1,4,3,3,2,1.02958206151607
2100.64784620784,4,0,2,1,3,4,0.512154518055952
1620.40470982192,3,1,2,0,4,3,-0.47358786037879
2420.45998914303,4,0,4,2,4,3,1.10456328904668
1596.87643219157,3,0,1,0,3,4,-0.588750234474989
2091.65917519559,5,0,3,3,2,2,0.275504260538149
2073.44480578737,2,0,3,3,2,4,0.286766026796909
4415.66464610248,5,1,3,2,4,3,1.97935565693788
3247.28963234938,4,0,2,4,3,3,1.2637959007922
1510.08414912001,2,0,2,1,4,3,-0.793214290898262
1396.18475732061,2,0,1,2,3,2,-1.09899124746798
1960.87020876416,4,1,1,2,3,3,0.0991090428962598
463.909284675019,4,0,1,0,2,2,-1.88055285723307
1817.91990653016,4,0,3,1,2,3,-0.255311154826411
3363.64064923809,4,0,4,0,5,4,1.41416945608568
3275.35783972506,4,0,4,3,3,3,1.18071588978689
2161.05699946985,2,0,4,3,4,3,0.488277772500799
1217.77882324286,3,0,3,1,2,1,-1.82439991236668
2387.46860307144,2,1,3,4,2,4,0.925173449496263
3838.99248276922,4,0,3,2,5,4,1.72020190415383
4372.69068715714,3,1,5,4,5,3,2.52461785786098
1365.14074328391,3,0,4,2,2,1,-1.23161513576729
1598.97472411169,1,1,4,2,4,3,-0.488783291200428
